Hotel Name									,Rating,Rating Corrigido,Rating Manipulável,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Preço Corrigido,Tax,Taxa Corrigida,Preço em R$,,Taxa em R$
"Dew Drops Farm Resorts | Rooms & Guided Treks
Like a 3",4.3,"4,3","4,3",Excellent,437,1,Adimali,city centre,19.2 km,"1,719",1719,410,410,"R$103,29","R$102,87","R$24,64"
Indrizzo Spice Valley Resort,3.5,"3,5","3,5",Very Good,52,3,Chithirapuram,city centre,10.3 km,"1,674",1674,342,342,"R$100,59","R$100,18","R$20,55"
Munnar Inn,3.6,"3,6","3,6",Very Good,232,2,Central Munnar,Attukal Waterfalls,440 m,"2,046",2046,484,484,"R$122,94","R$122,44","R$29,08"
The Wild Trails Munnar,4.7,"4,7","4,7",Excellent,51,4,Mankulam,city centre,19.5 km,"7,374",7374,"1,982",1982,"R$443,10","R$441,27","R$119,10"
Forest Haven Resort,3.6,"3,6","3,6",Very Good,246,3,Kallar Vattiyar,city centre,16.4 km,"2,046",2046,418,418,"R$122,94","R$122,44","R$25,12"
The Regalia Munnar,4.1,"4,1","4,1",Very Good,189,3,Chinnakanal,city centre,21.4 km,"2,371",2371,484,484,"R$142,47","R$141,89","R$29,08"
Mist Inn Resort,3.6,"3,6","3,6",Very Good,100,3,Pallivasal,city centre,8.1 km,"3,255",3255,665,665,"R$195,59","R$194,79","R$39,96"
Swiss County,4.5,"4,5","4,5",Excellent,328,4,Chithirapuram,city centre,10.2 km,"3,447",3447,847,847,"R$207,13","R$206,27","R$50,90"
The Fog Munnar (Resort & Spa),4.5,"4,5","4,5",Excellent,292,5,Ettycity Road,city centre,13.2 km,"8,103",8103,"2,178",2178,"R$486,90","R$484,90","R$130,87"
Skylark Holidays | Rooms & Caretaker,4.1,"4,1","4,1",Very Good,17,1,Chinnakanal,city centre,20.6 km,"3,317",3317,684,684,"R$199,32","R$198,50","R$41,10"
Deshadan Mountain Resort- The highest resort in Munnar,4.3,"4,3","4,3",Excellent,395,4,Pallivasal,city centre,5.8 km,"3,953",3953,808,808,"R$237,53","R$236,55","R$48,55"
Nature Zone Jungle Resort,4.1,"4,1","4,1",Very Good,187,4,Pallivasal,city centre,6.6 km,"6,862",6862,"2,124",2124,"R$412,33","R$410,63","R$127,63"
Lumino Highrange Homestay | Room & Guided Treks,3.2,"3,2","3,2",Good,221,1,Moolakadai,Attukal Waterfalls,1.3 km,"1,014",1014,223,223,"R$60,93","R$60,68","R$13,40"
